resident,space,activity,distance,weight
H71,O41,Creative Corridor,8.86,0.0532
H71,O41,Flexible Space,8.86,0.038
H71,O41,Outdoor Meeting Room,8.86,0.0289
H71,O41,Urban Agriculture Garden,8.86,0.0152
H71,O41,Offline Retreat,8.86,0.0076
H71,O41,Residents Space,8.86,0.0015
H67,O41,Playground,11.22,0.0123
H67,O41,Sports,11.22,0.0614
H67,O41,Community Pool/BBQ,11.22,0.0368
H67,O41,Sunbath,11.22,0.0049
H67,O41,Viewpoint,11.22,0.0061
H67,O41,Residents Space,11.22,0.0012
H67,O42,Playground,4.03,0.0298
H67,O42,Sports,4.03,0.1491
H67,O42,Community Pool/BBQ,4.03,0.0895
H67,O42,Sunbath,4.03,0.0119
H67,O42,Viewpoint,4.03,0.0149
H67,O42,Residents Space,4.03,0.003
H70,O42,Outdoor Cinema/Event Space,4.03,0.0895
H70,O42,Creative Corridor,4.03,0.0447
H70,O42,Viewpoint,4.03,0.0149
H70,O42,Residents Space,4.03,0.0149
H70,O42,Community Pool/BBQ,4.03,0.1044
H70,O42,Outdoor Meeting Room,4.03,0.0298
H73,O42,Flexible Space,8.25,0.0216
H73,O42,Community Pool/BBQ,8.25,0.0865
H73,O42,Outdoor Cinema/Event Space,8.25,0.0541
H73,O42,Viewpoint,8.25,0.0216
H73,O42,Offline Retreat,8.25,0.0195
H73,O42,Residents Space,8.25,0.0022
H72,O42,Sports,8.9,0.053
H72,O42,Outdoor Cinema/Event Space,8.9,0.0455
H72,O42,Community Pool/BBQ,8.9,0.053
H66,O42,Outdoor Cinema/Event Space,9.71,0.042
H66,O42,Creative Corridor,9.71,0.021
H66,O42,Viewpoint,9.71,0.007
H66,O42,Residents Space,9.71,0.007
H66,O42,Community Pool/BBQ,9.71,0.049
H66,O42,Outdoor Meeting Room,9.71,0.014
H73,O43,Flexible Space,4.8,0.0345
H73,O43,Community Pool/BBQ,4.8,0.1379
H73,O43,Outdoor Cinema/Event Space,4.8,0.0862
H73,O43,Viewpoint,4.8,0.0345
H73,O43,Offline Retreat,4.8,0.031
H73,O43,Residents Space,4.8,0.0034
H75,O43,Outdoor Cinema/Event Space,5.03,0.0995
H75,O43,Creative Corridor,5.03,0.0498
H75,O43,Viewpoint,5.03,0.0166
H75,O43,Residents Space,5.03,0.0166
H75,O43,Community Pool/BBQ,5.03,0.1161
H75,O43,Outdoor Meeting Room,5.03,0.0332
H64,O43,Flexible Space,8.49,0.0105
H64,O43,Community Pool/BBQ,8.49,0.0421
H64,O43,Outdoor Cinema/Event Space,8.49,0.0263
H64,O43,Viewpoint,8.49,0.0105
H64,O43,Offline Retreat,8.49,0.0095
H64,O43,Residents Space,8.49,0.0011
H65,O43,Offline Retreat,10.82,0.0169
H65,O43,Outdoor Meeting Room,10.82,0.0212
H65,O43,Flexible Space,10.82,0.0118
H65,O43,Creative Corridor,10.82,0.0169
H65,O43,Viewpoint,10.82,0.0127
H65,O43,Healing Garden,10.82,0.0042
H65,O43,Residents Space,10.82,0.0008
H72,O43,Sports,11.93,0.0406
H72,O43,Outdoor Cinema/Event Space,11.93,0.0348
H72,O43,Community Pool/BBQ,11.93,0.0406
H73,O44,Flexible Space,3.75,0.0421
H73,O44,Community Pool/BBQ,3.75,0.1684
H73,O44,Outdoor Cinema/Event Space,3.75,0.1053
H73,O44,Viewpoint,3.75,0.0421
H73,O44,Offline Retreat,3.75,0.0379
H73,O44,Residents Space,3.75,0.0042
H72,O44,Sports,6.4,0.0709
H72,O44,Outdoor Cinema/Event Space,6.4,0.0608
H72,O44,Community Pool/BBQ,6.4,0.0709
H70,O44,Outdoor Cinema/Event Space,10.05,0.0407
H70,O44,Creative Corridor,10.05,0.0204
H70,O44,Viewpoint,10.05,0.0068
H70,O44,Residents Space,10.05,0.0068
H70,O44,Community Pool/BBQ,10.05,0.0475
H70,O44,Outdoor Meeting Room,10.05,0.0136
H75,O44,Outdoor Cinema/Event Space,10.2,0.0536
H75,O44,Creative Corridor,10.2,0.0268
H75,O44,Viewpoint,10.2,0.0089
H75,O44,Residents Space,10.2,0.0089
H75,O44,Community Pool/BBQ,10.2,0.0625
H75,O44,Outdoor Meeting Room,10.2,0.0179
H64,O44,Flexible Space,12.82,0.0072
H64,O44,Community Pool/BBQ,12.82,0.0289
H64,O44,Outdoor Cinema/Event Space,12.82,0.0181
H64,O44,Viewpoint,12.82,0.0072
H64,O44,Offline Retreat,12.82,0.0065
H64,O44,Residents Space,12.82,0.0007
H71,O45,Creative Corridor,4.12,0.1025
H71,O45,Flexible Space,4.12,0.0732
H71,O45,Outdoor Meeting Room,4.12,0.0557
H71,O45,Urban Agriculture Garden,4.12,0.0293
H71,O45,Offline Retreat,4.12,0.0146
H71,O45,Residents Space,4.12,0.0029
H74,O45,Sports,6.05,0.0993
H74,O45,Outdoor Cinema/Event Space,6.05,0.0851
H74,O45,Community Pool/BBQ,6.05,0.0993
H69,O45,Urban Agriculture Garden,10.05,0.0407
H69,O45,Healing Garden,10.05,0.0339
H69,O45,Biodiversity Balcony,10.05,0.0068
H69,O45,Viewpoint,10.05,0.0149
H69,O45,Green Corridor,10.05,0.0136
H69,O45,Offline Retreat,10.05,0.019
H69,O45,Community Pool/BBQ,10.05,0.0068
H69,O45,Residents Space,10.05,0.0014
H68,O45,Urban Agriculture Garden,16.03,0.0264
H68,O45,Healing Garden,16.03,0.022
H68,O45,Biodiversity Balcony,16.03,0.0044
H68,O45,Viewpoint,16.03,0.0097
H68,O45,Green Corridor,16.03,0.0088
H68,O45,Offline Retreat,16.03,0.0123
H68,O45,Community Pool/BBQ,16.03,0.0044
H68,O45,Residents Space,16.03,0.0009
H70,O45,Outdoor Cinema/Event Space,20.25,0.0212
H70,O45,Creative Corridor,20.25,0.0106
H70,O45,Viewpoint,20.25,0.0035
H70,O45,Residents Space,20.25,0.0035
H70,O45,Community Pool/BBQ,20.25,0.0247
H70,O45,Outdoor Meeting Room,20.25,0.0071
H78,O46,Urban Agriculture Garden,5.76,0.0666
H78,O46,Healing Garden,5.76,0.0555
H78,O46,Biodiversity Balcony,5.76,0.0111
H78,O46,Viewpoint,5.76,0.0244
H78,O46,Green Corridor,5.76,0.0222
H78,O46,Offline Retreat,5.76,0.0311
H78,O46,Community Pool/BBQ,5.76,0.0111
H78,O46,Residents Space,5.76,0.0022
H79,O46,Urban Agriculture Garden,11.23,0.0368
H79,O46,Healing Garden,11.23,0.0307
H79,O46,Biodiversity Balcony,11.23,0.0061
H79,O46,Viewpoint,11.23,0.0135
H79,O46,Green Corridor,11.23,0.0123
H79,O46,Offline Retreat,11.23,0.0172
H79,O46,Community Pool/BBQ,11.23,0.0061
H79,O46,Residents Space,11.23,0.0012
H80,O46,Healing Garden,11.3,0.0305
H80,O46,Green Corridor,11.3,0.0244
H80,O46,Sunbath,11.3,0.0049
H80,O46,Community Pool/BBQ,11.3,0.0366
H80,O46,Sports,11.3,0.0244
H80,O46,Residents Space,11.3,0.0012
H76,O46,Sports,11.86,0.0272
H76,O46,Outdoor Cinema/Event Space,11.86,0.0233
H76,O46,Community Pool/BBQ,11.86,0.0272
H82,O46,Sports,15.17,0.0433
H82,O46,Outdoor Cinema/Event Space,15.17,0.0371
H82,O46,Community Pool/BBQ,15.17,0.0433
H80,O47,Healing Garden,4.24,0.0716
H80,O47,Green Corridor,4.24,0.0573
H80,O47,Sunbath,4.24,0.0115
H80,O47,Community Pool/BBQ,4.24,0.0859
H80,O47,Sports,4.24,0.0573
H80,O47,Residents Space,4.24,0.0029
H78,O47,Urban Agriculture Garden,5.0,0.075
H78,O47,Healing Garden,5.0,0.0625
H78,O47,Biodiversity Balcony,5.0,0.0125
H78,O47,Viewpoint,5.0,0.0275
H78,O47,Green Corridor,5.0,0.025
H78,O47,Offline Retreat,5.0,0.035
H78,O47,Community Pool/BBQ,5.0,0.0125
H78,O47,Residents Space,5.0,0.0025
H79,O47,Urban Agriculture Garden,5.0,0.075
H79,O47,Healing Garden,5.0,0.0625
H79,O47,Biodiversity Balcony,5.0,0.0125
H79,O47,Viewpoint,5.0,0.0275
H79,O47,Green Corridor,5.0,0.025
H79,O47,Offline Retreat,5.0,0.035
H79,O47,Community Pool/BBQ,5.0,0.0125
H79,O47,Residents Space,5.0,0.0025
H81,O47,Sports,9.06,0.0522
H81,O47,Outdoor Cinema/Event Space,9.06,0.0447
H81,O47,Community Pool/BBQ,9.06,0.0522
H76,O47,Sports,11.54,0.0279
H76,O47,Outdoor Cinema/Event Space,11.54,0.0239
H76,O47,Community Pool/BBQ,11.54,0.0279
H79,O48,Urban Agriculture Garden,2.83,0.1175
H79,O48,Healing Garden,2.83,0.0979
H79,O48,Biodiversity Balcony,2.83,0.0196
H79,O48,Viewpoint,2.83,0.0431
H79,O48,Green Corridor,2.83,0.0392
H79,O48,Offline Retreat,2.83,0.0548
H79,O48,Community Pool/BBQ,2.83,0.0196
H79,O48,Residents Space,2.83,0.0039
H81,O48,Sports,4.12,0.1025
H81,O48,Outdoor Cinema/Event Space,4.12,0.0879
H81,O48,Community Pool/BBQ,4.12,0.1025
H77,O48,Outdoor Cinema/Event Space,7.5,0.0471
H77,O48,Creative Corridor,7.5,0.0294
H77,O48,Flexible Space,7.5,0.0176
H77,O48,Offline Retreat,7.5,0.0118
H77,O48,Viewpoint,7.5,0.0106
H77,O48,Residents Space,7.5,0.0012
H78,O48,Urban Agriculture Garden,8.25,0.0486
H78,O48,Healing Garden,8.25,0.0405
H78,O48,Biodiversity Balcony,8.25,0.0081
H78,O48,Viewpoint,8.25,0.0178
H78,O48,Green Corridor,8.25,0.0162
H78,O48,Offline Retreat,8.25,0.0227
H78,O48,Community Pool/BBQ,8.25,0.0081
H78,O48,Residents Space,8.25,0.0016
H76,O48,Sports,9.12,0.0346
H76,O48,Outdoor Cinema/Event Space,9.12,0.0296
H76,O48,Community Pool/BBQ,9.12,0.0346
H80,O49,Healing Garden,4.12,0.0732
H80,O49,Green Corridor,4.12,0.0586
H80,O49,Sunbath,4.12,0.0117
H80,O49,Community Pool/BBQ,4.12,0.0879
H80,O49,Sports,4.12,0.0586
H80,O49,Residents Space,4.12,0.0029
H82,O49,Sports,6.05,0.0993
H82,O49,Outdoor Cinema/Event Space,6.05,0.0851
H82,O49,Community Pool/BBQ,6.05,0.0993
H78,O49,Urban Agriculture Garden,11.05,0.0373
H78,O49,Healing Garden,11.05,0.0311
H78,O49,Biodiversity Balcony,11.05,0.0062
H78,O49,Viewpoint,11.05,0.0137
H78,O49,Green Corridor,11.05,0.0124
H78,O49,Offline Retreat,11.05,0.0174
H78,O49,Community Pool/BBQ,11.05,0.0062
H78,O49,Residents Space,11.05,0.0012
H79,O49,Urban Agriculture Garden,13.04,0.0321
H79,O49,Healing Garden,13.04,0.0267
H79,O49,Biodiversity Balcony,13.04,0.0053
H79,O49,Viewpoint,13.04,0.0118
H79,O49,Green Corridor,13.04,0.0107
H79,O49,Offline Retreat,13.04,0.015
H79,O49,Community Pool/BBQ,13.04,0.0053
H79,O49,Residents Space,13.04,0.0011
H81,O49,Sports,15.26,0.0323
H81,O49,Outdoor Cinema/Event Space,15.26,0.0277
H81,O49,Community Pool/BBQ,15.26,0.0323
